semantic_id,dataset,condition,arm,split,repetition,alpha,delta_r,delta_c,J,M,procedure,certified,effective_certified_coverage,coverage_lcb,risk_ucb,holm_raw_pvalue,holm_adjusted_pvalue,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,d5,proser_fedavg,2,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,d0.1,proser_fedavg,2,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,d0.1,proser_fedavg,2,2,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,d0.1,proser_fedavg,2,2,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,d0.5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,d0.5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,d0.5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,d5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,d5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,d5,proser_fedavg,2,2,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,d0.1,proser_fedavg,2,3,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,d0.1,proser_fedavg,2,3,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,d0.1,proser_fedavg,2,3,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,d0.5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,d0.5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,d0.5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,d5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,d5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,d5,proser_fedavg,2,3,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,d0.1,proser_fedavg,2,4,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,d0.1,proser_fedavg,2,4,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,d0.1,proser_fedavg,2,4,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,d0.5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,d0.5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,d0.5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,d5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,d5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,d5,proser_fedavg,2,4,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,d0.1,proser_fedavg,3,0,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,d0.1,proser_fedavg,3,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,d0.1,proser_fedavg,3,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,d0.5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,d0.5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,d0.5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,d5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,d5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,d5,proser_fedavg,3,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,d0.1,proser_fedavg,3,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,d0.1,proser_fedavg,3,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,d0.1,proser_fedavg,3,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,d0.5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,d0.5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,d0.5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,d5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,d5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,d5,proser_fedavg,3,1,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,d0.1,proser_fedavg,3,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,d0.1,proser_fedavg,3,2,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,d0.1,proser_fedavg,3,2,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,d0.5,proser_fedavg,3,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,d0.5,proser_fedavg,3,2,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,d0.5,proser_fedavg,3,2,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,
cifar100_proser_fedavg__split03__seed2__d5.0,cifar100,d5,proser_fedavg,3,2,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,
